generator,macro_f1,accuracy,n_ai_samples
01-ai/Yi-Coder-1.5B,0.9587008300404274,0.9939904818945562,8633
01-ai/Yi-Coder-1.5B-Chat,0.946485608610159,0.9936079313831001,6829
01-ai/Yi-Coder-9B,0.9619476631383015,0.9938177131580007,9815
01-ai/Yi-Coder-9B-Chat,0.9540179444358299,0.9936544106914057,8153
Qwen/Qwen2.5-Coder-1.5B,0.9449402669720149,0.9936187227653289,6617
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.9556141337447077,0.9933492799767265,9017
Qwen/Qwen2.5-Coder-32B-Instruct,0.9551948599176088,0.9937485810657413,8189
Qwen/Qwen2.5-Coder-7B,0.9477695540038512,0.9936451293582803,7006
Qwen/Qwen2.5-Coder-7B-Instruct,0.9454466170075959,0.9937386988412104,6522
bigcode/starcoder,0.9593571113660364,0.9934663954401725,9780
bigcode/starcoder2-15b,0.9557389857577512,0.9934654001835834,8824
bigcode/starcoder2-3b,0.9577363278480822,0.9938293085588502,8661
bigcode/starcoder2-7b,0.9464571201130589,0.9936323129542888,6826
codellama/CodeLlama-34b-Instruct-hf,0.9516614032943114,0.9934518279299419,8006
codellama/CodeLlama-70b-Instruct-hf,0.9591516805326448,0.9940005663659534,8715
codellama/CodeLlama-7b-hf,0.9378756914241544,0.9936281475354117,5724
deepseek-ai/deepseek-coder-1.3b-base,0.9318741569161115,0.9935176295858668,5263
deepseek-ai/deepseek-coder-1.3b-instruct,0.9090947741757918,0.9936373627281666,3563
deepseek-ai/deepseek-coder-6.7b-base,0.9411340843022684,0.9935313563720022,6244
deepseek-ai/deepseek-coder-6.7b-instruct,0.9367108822058412,0.9937239694356081,5469
google/codegemma-2b,0.9505273815627855,0.9935936782286683,7532
google/codegemma-7b,0.9429395903408884,0.9936317440606516,6333
ibm-granite/granite-8b-code-base-4k,0.9427145938449419,0.9931787898667949,6936
ibm-granite/granite-8b-code-instruct-4k,0.9192227843350131,0.9931721241686239,4646
meta-llama/Llama-3.1-8B,0.9451279536462718,0.9937103067705018,6529
meta-llama/Llama-3.1-8B-Instruct,0.9546544523658249,0.9935912237845809,8374
meta-llama/Llama-3.2-1B,0.9162643546429506,0.9937248074328645,3908
meta-llama/Llama-3.2-3B,0.9518432039199066,0.9938031399050953,7456
meta-llama/Llama-3.3-70B-Instruct,0.9564754787213685,0.993617408538435,8760
microsoft/Phi-3-medium-4k-instruct,0.9765335452502646,0.994074974511803,16545
microsoft/Phi-3-mini-4k-instruct,0.9586182551132572,0.9939390506400816,8681
microsoft/Phi-3-small-8k-instruct,0.9574769683464366,0.9938117459456616,8606
microsoft/Phi-3.5-mini-instruct,0.9616479665374293,0.9937465773282221,9869
microsoft/phi-2,0.9603079515349768,0.9937451858901718,9494
